UID,Name,Link (only from pdb),CID,Source,Description (only from pdb),Event Childhood,Event Teenage,Event Pre-Hero,Event Hero (1),Event Hero (2),Event Hero (3),Dilemma(1) Save One or Save Many,Dilemma (2) Hero or Villain?,Dilemma(3) Reveal Identity or Protect Loved Ones,Dilemma(4) Join or Fight Against the Government,True event,Human label
11,Daredevil_2267.json,https://www.personality-database.com/profile/2267/matt-murdock-daredevil-marvel-comics-mbti-personality-type,2267,"['Marvel Comics', 'Echo']","Daredevil is a character appearing in American comic books published by Marvel Comics. Created by writer-editor Stan Lee and artist Bill Everett, with an unspecified amount of input from Jack Kirby, the character first appeared in Daredevil #1 (April 1964).","""As a child in Hell’s Kitchen, your father, the boxer Battlin' Jack Murdock, always told you to study hard and stay out of fights. When bullies targeted you, you...""
A) Listened to your father and walked away
B) Fought back, refusing to be a victim
C) Waited for the right moment to get revenge
D) Took the beatings but never lost your spirit","""After saving a man from an oncoming truck, a chemical accident left you blind but heightened your other senses. How did you first react to this change?""
A) Confused and scared, unsure of what to do
B) Determined to adapt and use it to your advantage
C) Resentful, feeling like life had been unfair
D) Excited, seeing it as an opportunity for something greater
","""After training under Stick, you honed your skills and learned the ways of the warrior. But when he pushed you too hard, your reaction was...""
A) Walking away, refusing to become a killer
B) Pushing yourself even harder to prove your worth
C) Challenging Stick, questioning his teachings
D) Accepting the brutality as necessary for survival","""Once you became a lawyer, you saw the corruption in Hell’s Kitchen firsthand. When Wilson Fisk manipulated the legal system to walk free, your response was to...""
A) Gather more evidence and try again in court
B) Take matters into your own hands as Daredevil
C) Rally the community against him
D) Accept that the system is flawed but keep fighting

","""As Daredevil, you earned a reputation as the Devil of Hell’s Kitchen. When Spider-Man offered to team up for a mission, your first thought was...""
A) Grateful, but skeptical of his methods
B) Annoyed, preferring to work alone
C) Willing to test his skills in a sparring match first
D) Curious to see how his powers complement yours","""After years of fighting crime, you faced the ultimate dilemma: to kill the Kingpin and end his reign of terror or let the law take its course. Your final decision was to...""
A) Trust in the law and refuse to kill
B) Push him to the edge, but not end his life
C) Give in to rage and eliminate him once and for all
D) Let fate decide, stepping back from the fight",,,,,,
11,Daredevil_159239.json,https://www.personality-database.com/profile/159239/matt-murdock-daredevil-daredevil-2003-mbti-personality-type,159239,"['Daredevil (2003)', 'Deadpool & Wolverine (2024)']","An attorney-at-law with a disability. As a youth, he had trouble with local bullies and a close bond with his father. He was blinded in a radioactive accident that also drastically heightened his remaining senses and gave him a ""radar-sense"", which allowed him to perceive his surroundings. After this, he made a silent promise with his father to ""stick up for the long shots"". His father is killed not long after this moment, he vows to seek justice by any means. At night, Murdock became Daredevil, and took justice into his hands. Throughout his adult life, Murdock dealt with the moral implications of being a vigilante, and tried to prove that he was not a villain.

#BenAffleck as Matt Murdock / Daredevil","""As a child, you were often bullied but never fought back because of a promise to your father. One day, after being pushed too far, your instinct was to...""
A) Hold back and walk away
B) Fight back, breaking your promise
C) Stand up for yourself without violence
D) Seek revenge in secret","""After a chemical accident blinded you, you realized your other senses had drastically heightened. How did you first react?""
A) Fearful and confused about what was happening
B) Excited by your newfound abilities
C) Determined to train and master your senses
D) Resentful, feeling like life was unfair","""Your father, a boxer, refused to throw a fight and was killed by criminals. How did this moment shape your path?""
A) It fueled your desire for justice by any means
B) You became obsessed with revenge
C) You felt guilty, believing it was your fault
D) You vowed never to let fear control you","""Now a lawyer by day and a vigilante by night, you struggled with the moral consequences of your actions. When facing a criminal who escaped justice in court, you...""
A) Took him down as Daredevil, proving the law had failed
B) Gathered new evidence to retry the case
C) Threatened him but let him go
D) Considered killing him but held back

","""Your secret life as Daredevil began to take a toll on your personal relationships. When your closest friend questioned why you always disappeared at night, your response was...""
A) Lying to protect your identity
B) Admitting you were struggling with a secret
C) Telling them the full truth, no matter the risk
D) Deflecting with humor to avoid suspicion

","""After facing Bullseye and the Kingpin, you stood at a crossroads. With the opportunity to end the Kingpin’s reign permanently, your ultimate decision was to...""
A) Let him live, proving you're not like him
B) Beat him mercilessly but let the law handle him
C) Hesitate, battling your inner demons
D) End his rule permanently, no matter the cost
",,,,,,
12,"Peter Quill ""Star-Lord""",https://www.personality-database.com/profile/800/peter-quill-starlord-mcu-the-heroes-mbti-personality-type,800,"['MCU: The Heroes', 'Thor: Love and Thunder (2022)']","Peter Jason Quill is a Celestial-Human hybrid who was abducted from Earth in 1988 by the Yondu Ravager Clan, and raised as one of their members, eventually building a reputation as the notorious intergalactic outlaw Star-Lord. In 2014, he decided to leave the Ravagers and operate individually, unintentionally becoming a key player in the quest for a precious artifact known as the Orb after stealing it from Morag. Following his arrest, he forged an uneasy alliance with fellow inmates Gamora, Drax the Destroyer, Rocket Raccoon, and Groot, who together formed the Guardians of the Galaxy. They first rallied as a team by stopping Ronan the Accuser from destroying Xandar with the Power Stone.","""As a child, you were raised on Earth by your mother, who loved to share music with you. But after her passing, you were abducted by Yondu and his Ravagers. Your first reaction to this new life was...""
A) Confusion and fear, unsure of your fate
B) Excitement at the idea of space adventures
C) Anger and a desire to escape
D) Determination to prove yourself","""Growing up among the Ravagers, you had to learn their ways quickly. When Yondu gave you your first major task, you...""
A) Took it seriously, eager to impress him
B) Tried to outsmart Yondu and do it your way
C) Complained but did it anyway
D) Messed it up but laughed it off

","""Now an outlaw known as Star-Lord, you took a job stealing an artifact from Morag. But after getting the Orb, you realized...""
A) It was more powerful than you expected
B) You had just made enemies with dangerous people
C) Yondu wouldn’t be happy about this
D) You could make a fortune selling it","""After being arrested, you were forced to work with unlikely allies: Gamora, Rocket, Drax, and Groot. When tensions rose between the group, you...""
A) Used your charm to keep everyone from fighting
B) Tried to lead, even if no one listened
C) Stood back and let them argue
D) Instigated the chaos for fun

","""When Ronan threatened to destroy Xandar, you and the Guardians made a last stand. In the heat of battle, your first instinct was to...""
A) Use your wits to outmaneuver him
B) Fight head-on, even if it seemed hopeless
C) Try to negotiate and talk your way out
D) Distract him with a ridiculous dance
","""After saving Xandar, you finally had a family with the Guardians. As their leader, your biggest challenge was...""
A) Keeping everyone from killing each other
B) Learning to put others before yourself
C) Accepting responsibility for your actions
D) Finding a way to trust Yondu again",,,,,,
12,Peter Quill “Star-Lord”,https://www.personality-database.com/profile/2013/peter-quill-starlord-marvel-comics-mbti-personality-type,2013,"['Marvel Comics', 'Disney Infinity ']","Peter Jason Quill, better known by his alias Star-Lord, is a Marvel Comics character created by Steve Englehart and Steve Gan, first showing up in Marvel Preview #4 (January 1976).

Described by co-creator Englehart as ""an unpleasant, introverted jerk"" who becomes ""the most cosmic being in the universe,"" Star-Lord was a product of Englehart's newfound interest in astronomy at the time. Fans of the character's current iteration reading this might laugh at how much he's changed since. In any event, Peter was originally presented as an arrogant, anti-social astronaut who accidentally became an outer space badass, and only some of those qualities have been retained through the years.","""Born as the son of a human mother and the Spartoi Emperor J'son, you had no idea of your cosmic heritage. After witnessing your mother's tragic death at the hands of alien invaders, your first reaction was...""
A) A deep desire for revenge
B) Shock and confusion, struggling to understand
C) A longing to escape Earth and find answers
D) Determination to train and protect others","""As a teenager, you pursued a path that would take you beyond Earth. When you discovered the truth about your father’s alien origin, you decided to...""
A) Reject your heritage and focus on Earth life
B) Train to become an astronaut to reach the stars
C) Obsessively research alien life in secret
D) Seek out your father, no matter the cost","""As a NASA trainee, you finally found your way into space but ended up stranded. When faced with this life-altering moment, your first instinct was to...""
A) Find a way to return to Earth
B) Embrace your new reality and adapt
C) Seek revenge against those responsible for your hardships
D) Steal a ship and forge your own path","""Now known as Star-Lord, you discovered the Element Gun, a powerful weapon tied to your destiny. Your first thought upon wielding it was...""
A) ""This is my chance to become a legend.""
B) ""I have to be careful with this power.""
C) ""How much is this worth on the black market?""
D) ""Time to take down the people who ruined my life.""","""You became a cosmic protector, but your past caught up with you when the Spartoi Empire demanded your allegiance. Your immediate response was...""
A) Refusing to be controlled by them
B) Pretending to play along while plotting escape
C) Accepting, thinking you could change things from within
D) Destroying any connection to your royal bloodline","""After forming the Guardians of the Galaxy, you finally had a team you could trust. But when a mission required you to sacrifice yourself to save them, your final decision was...""
A) Accepting your fate without hesitation
B) Finding a last-minute trick to survive
C) Letting them go, believing they could manage
D) Fighting until your last breath, refusing to give up",,,,,,
13,Natasha Romanoff “Black Widow”,https://www.personality-database.com/profile/2005/natasha-romanoff-black-widow-marvel-comics-mbti-personality-type,2005,"['Marvel Comics', 'Marvel vs. Capcom']","Natalia Alianovna Romanova (Russian: Наталья Альяновна ""Наташа"" Романова; alias: Natasha Romanoff; Russian: Наташа Романофф), colloquial: Black Widow (Russian: Чёрная Вдова; transliterated Chyornaya Vdova) is a fictional superhero appearing in American comic books published by Marvel Comics. Created by editor and plotter Stan Lee, scripter Don Rico, and artist Don Heck, the character debuted in Tales of Suspense #52 (April 1964). The character was introduced as a Russian spy, an antagonist of the superhero Iron Man.","""As a child, you were taken in by the Soviet Red Room program and trained to be a lethal spy. When you first realized the truth about your training, you felt...""
A) Determined to prove yourself
B) Trapped with no way out
C) Proud to serve your country
D) Conflicted but focused on survival","""Your training in the Red Room pushed you beyond human limits. When faced with a test that required eliminating a fellow trainee, your decision was to...""
A) Follow orders without hesitation
B) Hesitate but ultimately obey
C) Refuse, knowing the consequences
D) Secretly help them escape
","""After years of serving as an elite assassin for the KGB, you were ordered to eliminate a high-value target. However, when you learned they were innocent, you...""
A) Followed orders, believing it wasn’t your decision
B) Hesitated but completed the mission
C) Let them live and fabricated a cover story
D) Defected, realizing you had been used","""Defecting from the Soviet Union, you found yourself working with S.H.I.E.L.D. and earning their trust. Your first major mission required you to...""
A) Take down a dangerous Soviet spy ring
B) Work alongside Hawkeye, despite your past
C) Infiltrate an enemy organization as a double agent
D) Prove your loyalty by revealing Soviet secrets","""As a member of the Avengers, you faced threats beyond anything in your Red Room training. When confronted with an enemy you couldn’t outfight, your instinct was to...""
A) Outsmart them with strategy
B) Use manipulation to gain the upper hand
C) Call in reinforcements before engaging
D) Take a risk and fight anyway","""After years of espionage, redemption, and sacrifice, you were given a choice: continue as a hero or disappear and live in peace. Your final decision was to...""
A) Stay and fight, knowing it’s who you are
B) Walk away, leaving the past behind
C) Fake your death and work from the shadows
D) Train the next generation of spies

",,,,,,
13,"Natasha Romanoff ""Black Widow""",https://www.personality-database.com/profile/383180/natasha-romanoff-black-widow-what-if-2021-mbti-personality-type,383180,['What If...? (2021)'],"Natalia Alianovna ""Natasha"" Romanoff (Russian: Наталья Алиановна ""Наташа"" Романова), also known as Black Widow, was a special agent of S.H.I.E.L.D. and one of the candidates for the Avengers Initiative. After she was framed for the murder of Tony Stark, Romanoff escaped S.H.I.E.L.D. and went on her own mission to pursue the man responsible for the killing. The murderer, Hank Pym, managed to kill Romanoff, as he did to all other Avengers candidates, but not before she disclosed the truth to Nick Fury.

#WhatIfShow #WhatIfMarvel #LakeBell #NatashaRomanoff #NataliaAlianovnaRomanoff #BlackWidowMarvel","""Growing up in the Red Room, you were trained to be one of the world's deadliest spies. When you first realized that your life was controlled by the program, you felt...""
A) Determined to excel despite the conditions
B) Trapped but unwilling to show weakness
C) Resigned to your fate as a weapon
D) Secretly hoping for a way out","""During your teenage years, you completed your first major assassination mission. Looking back, you...""
A) Felt proud of your precision and skill
B) Began questioning your loyalty to the Red Room
C) Accepted it as just another mission
D) Felt regret but knew you had no choice

","""After defecting from the Soviet Union and joining S.H.I.E.L.D., you worked as a spy alongside Nick Fury. When you learned about the Avengers Initiative, your first thought was...""
A) A chance for redemption through heroism
B) Skepticism, doubting that a team could succeed
C) Excitement to be part of something bigger
D) Concern that it was just another manipulation

","""Framed for the murder of Tony Stark, you went into hiding. Your first move was to...""
A) Investigate the truth and clear your name
B) Contact Nick Fury for backup
C) Hunt down the real killer before they struck again
D) Escape and disappear before S.H.I.E.L.D. caught you

","""While tracking the true murderer, you discovered that Hank Pym was behind the killings. When you realized you were his next target, you...""
A) Warned Nick Fury before it was too late
B) Attempted to fight him head-on
C) Tried to outmaneuver him using spy tactics
D) Set a trap, hoping to take him down

","""Before your final fight, you managed to leave a message for Fury, revealing the truth. Your last thought was...""
A) Relief, knowing you exposed the villain
B) Frustration that you couldn’t finish the mission
C) Pride in ensuring the Avengers' legacy would continue
D) Regret that you didn’t see the bigger picture sooner",,,,,,
14,"Stephen Strange ""Doctor Strange""",https://www.personality-database.com/profile/4345/stephen-strange-doctor-strange-mcu-the-heroes-mbti-personality-type,4345,"['MCU: The Heroes', 'Spider-Man : No Way Home']","An expert neurosurgeon whose career ended abruptly when an injury sustained during a car crash destroyed the nerves in his hands. He eventually sought out the Ancient One in search of a cure for his condition, only to become her latest disciple in the Mystic Arts. Strange eventually becomes the master of the Sanctum Sanctorum in New York City, one of three seals that protect Earth from magical and extra-dimensional threats.","""As a child, you were highly intelligent and naturally gifted. When faced with a challenge, your typical response was to...""
A) Study obsessively until you mastered it
B) Give up if it didn’t come easily
C) Seek help from others to understand it
D) Ignore it, focusing on things that interested you","""During your teenage years, you began developing an ego as you realized your intelligence set you apart from others. When someone challenged your knowledge, you...""
A) Proved them wrong with confidence
B) Mocked them for questioning you
C) Listened but rarely admitted being wrong
D) Ignored them, believing you were above it","""As a brilliant neurosurgeon, you built a reputation for your skill and arrogance. When faced with a case you weren’t sure you could handle, you...""
A) Took it anyway, refusing to admit doubt
B) Passed it on, not risking your perfect record
C) Studied every possible method to succeed
D) Took the challenge but blamed others if it failed","""After a devastating car accident, your hands were left permanently damaged. When traditional medicine failed, you...""
A) Searched desperately for experimental treatments
B) Accepted your fate, but with bitterness
C) Turned to self-pity and anger
D) Began seeking answers beyond science","""Traveling to Kamar-Taj, you met the Ancient One and discovered the Mystic Arts. Your first reaction to magic was...""
A) Disbelief, refusing to accept it
B) Fascination, eager to learn more
C) Skepticism, but willing to explore it
D) Frustration, wanting instant results","""As the new Sorcerer Supreme, you now protect Earth from mystical threats. When faced with a powerful enemy, your strategy is usually to...""
A) Outsmart them with magical knowledge
B) Confront them head-on, using raw power
C) Negotiate before resorting to combat
D) Manipulate time to shift the odds",,,,,,
14,Stephen Strange “Doctor Strange”,https://www.personality-database.com/profile/2011/stephen-strange-doctor-strange-marvel-comics-mbti-personality-type,2011,"['Marvel Comics', 'Marvel vs. Capcom']","A brilliant but arrogant New York surgeon, Dr. Stephen Strange's life was turned upside down when a car crash caused irreparable nerve damage to his hands, preventing him from ever holding a scalpel again. Driven by arrogance and desperation, he traveled the world in search of a cure, finally arriving in Tibet to seek the help of the Ancient One, a powerful wizard and (unbeknownst to him) the Sorcerer Supreme, the mage charged with protecting the Earth from the otherdimensional Cosmic menaces who would threaten it.

Sensing his great magical potential, the Ancient One asked Strange to become his new apprentice, and the now humbled Strange accepted.

After years of study, he moved back to New York and engaged in many mystical adventures and fought many wicked foes, including the vengeful Mordo, the Dread Dormammu and the abominable Shuma-Gorath, who caused the death of the Ancient One, leading to Strange inheriting his title and responsibilities","""From a young age, you displayed an incredible intellect and steady hands, making you destined for greatness. When faced with competition, you...""
A) Saw it as motivation to be the best
B) Ignored it, knowing you were superior
C) Felt threatened and sought to outshine them
D) Relied on charm to win people over","""As a teenager, you became more focused on your ambitions and success. When your family needed you, your response was...""
A) Prioritizing your career over personal matters
B) Helping reluctantly, feeling burdened
C) Balancing both but favoring your own goals
D) Completely ignoring them, focusing on yourself","""After losing the ability to perform surgery due to a car accident, you searched for a cure. When modern medicine failed, you...""
A) Refused to accept it, spiraling into desperation
B) Became obsessed with finding alternative solutions
C) Tried to return to your old life despite your condition
D) Resented everyone who tried to help you","""Arriving in Tibet, you sought the help of the Ancient One, but he refused to heal your hands. Your initial reaction was to...""
A) Dismiss him as a fraud and demand answers
B) Accept his teachings, hoping for a cure
C) Question everything, unable to believe in magic
D) Plan to leave, until you saw proof of his power","""Training in the Mystic Arts, you discovered Baron Mordo’s treachery. When he tried to betray the Ancient One, you...""
A) Alerted the Ancient One immediately
B) Confronted Mordo and demanded the truth
C) Kept quiet, hoping to learn more first
D) Waited for the right moment to expose him","""After the Ancient One’s death, you became Sorcerer Supreme and faced Dormammu. Your strategy in stopping him was to...""
A) Challenge him directly in combat
B) Outsmart him using magical trickery
C) Bargain with him to save Earth
D) Use forbidden magic, despite the risks
",,,,,,
14,"Stephen Strange ""Doctor Strange Supreme""",https://www.personality-database.com/profile/388252/stephen-strange-doctor-strange-supreme-what-if-2021-mbti-personality-type,388252,"['What If...? (2021)', 'MCU: The Antiheroes']","Doctor Stephen Vincent Strange M.D., Ph.D. is the Sorcerer Supreme and a Master of the Mystic Arts. Strange became hellbent on resurrecting his late girlfriend Christine Palmer after she died in a car accident.

#WhatIfShow #WhatIfMarvel #BenedictCumberbatch #StephenStrange #DoctorStrange #DoctorStrangeSupreme","""As a child, you were gifted with intelligence and precision, setting you apart from others. When you made a mistake, your typical reaction was...""
A) Fixing it immediately, refusing to fail
B) Blaming external factors instead of yourself
C) Accepting it as a learning experience
D) Obsessing over it, unable to move on","""During your teenage years, your ambition became clear. When someone outperformed you, your response was...""
A) Working harder to surpass them
B) Feeling bitter but hiding it
C) Ignoring them, believing you were still superior
D) Looking for flaws in their success","""Your life changed forever when a tragic car accident took Christine Palmer's life. In your grief, you...""
A) Searched desperately for a way to bring her back
B) Tried to move on, but struggled deeply
C) Shut yourself off from the world
D) Became obsessed with defying fate

","""As Sorcerer Supreme, you learned the natural laws of the universe. When told that Christine’s death was an Absolute Point, meaning it could not be changed, you...""
A) Refused to accept it and sought forbidden knowledge
B) Accepted it but never stopped grieving
C) Tried to find loopholes in the laws of time
D) Tested small spells to see if they could alter fate

","""You began absorbing mystical beings to increase your power, knowing the risks. When your reflection warned you to stop, you...""
A) Ignored it, convinced you were doing the right thing
B) Hesitated, but ultimately continued
C) Considered stopping, but your obsession won
D) Destroyed your reflection, silencing doubt","""After realizing that your actions doomed the universe, you were left alone in a collapsing void. Your final thought was...""
A) Regret, realizing you had been wrong all along
B) Anger, blaming the universe for its cruelty
C) Acceptance, knowing this was your punishment
D) Hope, believing there was still a way to fix things",,,,,,
14,Steven Strange,https://www.personality-database.com/profile/133165/steven-strange-dr-strange-1978-mbti-personality-type,133165,['Dr. Strange (1978)'],"Steven Strange is the main character of the superhero movie of the same name Dr. Strange (1978).
He is a very kind and proud lifesaver that works as a Doctor for the smiles of his patients.
Once he randomly crosses the old guy (his future mentor), he becomes the most powerful Sorcerer Supreme Doctor Strange.
Just like everyone else in the movie, he has very vague mysterious magical powers that he shall use to defeat Dormammu.","""As a child, you were known for your kindness and intelligence. When someone needed help, your first instinct was to...""
A) Assist them immediately, no matter what
B) Evaluate if they truly needed help first
C) Let someone else handle it
D) Ignore it, focusing on your own path","""During your teenage years, you became more confident in your abilities. When people praised you for your medical knowledge, you...""
A) Humbly accepted but kept working harder
B) Proudly acknowledged that you were the best
C) Used the praise as motivation to do more
D) Brushed it off, believing it was just expected","""As a doctor, you took great pride in saving lives. One day, after encountering a mysterious old man, he told you that you had a greater destiny. Your reaction was to...""
A) Dismiss him as a delusional stranger
B) Laugh it off but remain curious
C) Listen carefully, intrigued by his words
D) Immediately believe him and seek answers

","""After meeting your future mentor, you began learning magic despite its vague and mysterious nature. Your first attempt at casting a spell resulted in...""
A) A completely unexpected magical effect
B) A minor success, but with no explanation why
C) A powerful burst of energy you couldn't control
D) A total failure, leaving you confused

","""As you embraced your destiny as Sorcerer Supreme, Dormammu emerged as a threat. Your first move was to...""
A) Confront him with whatever magic you could muster
B) Try to understand his vague, mysterious power
C) Call upon your mentor for advice
D) Confidently assume you had the power to stop him","""With the fate of reality at stake, you stood against Dormammu. Your final strategy to stop him was to...""
A) Use unexplained, yet effective, magical abilities
B) Channel raw magical energy with no clear rules
C) Hope that sheer willpower would be enough
D) Trust in the power of kindness and belief",,,,,,
14,Stephen Strange “Doctor Strange” (Temporal Paradox),https://www.personality-database.com/profile/398132/stephen-strange-doctor-strange-temporal-paradox-what-if-2021-mbti-personality-type,398132,['What If...? (2021)'],"Doctor Stephen Vincent Strange M.D., Ph.D. was the Sorcerer Supreme and a Master of the Mystic Arts during a time paradox. He was separated from an alternate version of himself by the Ancient One and was tasked with stopping him from breaking an Absolute Point. He was ultimately defeated and absorbed into the corrupted Strange.

#WhatIfShow #WhatIfMarvel #BenedictCumberbatch #StephenStrange #DoctorStrange","""As a child, you always sought knowledge and perfection. When faced with failure, your response was to...""
A) Learn from your mistakes and try again
B) Push yourself harder, refusing to accept defeat
C) Blame external factors for your failure
D) Avoid trying again to protect your ego","""During your teenage years, your intelligence and skill set you apart from others. When someone doubted you, you...""
A) Ignored them, knowing you were right
B) Took it as motivation to prove them wrong
C) Corrected them with confidence
D) Mocked them for questioning your abilities","""After losing Christine Palmer in a tragic accident, you struggled with grief. When told that her death was an Absolute Point in time, you...""
A) Accepted it, knowing some things can't be changed
B) Searched for another way to bring her back
C) Ignored the warning and sought forbidden knowledge
D) Fell into despair, questioning your purpose","""After the Ancient One split you from your darker half, you were tasked with stopping him from breaking an Absolute Point. Your first approach was to...""
A) Try reasoning with him, appealing to his emotions
B) Fight him directly, knowing he was too dangerous
C) Attempt to use magic to counter his growing power
D) Seek guidance from mystical forces beyond your world","""Despite your best efforts, your darker half became too powerful. In your final battle, you...""
A) Used all your strength, but ultimately fell
B) Tried to outthink him, but he was too determined
C) Fought until the very end, refusing to surrender
D) Accepted your fate, hoping the universe could still be saved","""As you were absorbed by the corrupted Strange, your final thoughts were...""
A) Regret, knowing you couldn’t stop him
B) Hope, believing that someone else would restore balance
C) Anger, blaming yourself for not being strong enough
D) Acceptance, knowing you did all you could",,,,,,
15,Clint Barton “Hawkeye”,https://www.personality-database.com/profile/2006/clint-barton-hawkeye-marvel-comics-mbti-personality-type,2006,"['Marvel Comics', 'Marvel vs. Capcom']","Hawkeye (Clinton Francis ""Clint"" Barton) is a fictional superhero appearing in American comic books published by Marvel Comics. Created by writer Stan Lee and artist Don Heck, the character first appeared as a villain in Tales of Suspense #57 (Sept. 1964) and later joined the Avengers in The Avengers #16 (May 1965).","""As a child, you grew up in a difficult household and lost your parents in a car accident. You and your brother ended up in an orphanage. Your first instinct was to...""
A) Protect your brother at all costs
B) Shut yourself off emotionally
C) Run away and start a new life
D) Seek revenge on the world that took your family","""During your teenage years, you joined the Carson Carnival of Traveling Wonders, where you trained under Trick Shot and Swordsman. When you discovered they were criminals, you...""
A) Confronted them, refusing to be part of their schemes
B) Stayed quiet, unsure of what to do
C) Learned from them but planned your escape
D) Joined them, believing there was no other choice","""After leaving the circus, you decided to use your skills as a vigilante. When you first saw Iron Man in action, you...""
A) Admired him and wanted to be a hero too
B) Felt jealous of his fame and attention
C) Saw an opportunity to prove your worth
D) Planned to challenge him in combat","""At first, you were mistaken for a criminal and fought against the Avengers. When you realized you wanted to be a hero, your next move was to...""
A) Prove yourself to the Avengers by helping them
B) Continue working alone as a vigilante
C) Try to clear your name through the press
D) Seek out Nick Fury for an opportunity","""As a full-fledged Avenger, you often felt like the underdog among gods and superhumans. Your approach to proving your worth was to...""
A) Train harder than anyone else
B) Use strategy and tactics to outthink opponents
C) Show your confidence by mocking the others
D) Take risks to show you belonged","""After years of fighting alongside the Avengers, you were offered a chance to retire peacefully. Your final decision was to...""
A) Walk away and live a quiet life
B) Stay in action, unable to leave the fight
C) Train a new generation of heroes
D) Take a break but return when needed
",,,,,,
15,"Clint Barton ""Hawkeye""",https://www.personality-database.com/profile/344993/clint-barton-hawkeye-what-if-2021-mbti-personality-type,344993,['What If...? (2021)'],"Clinton Francis ""Clint"" Barton, also known as Hawkeye, was an extremely skilled marksman, a special agent of S.H.I.E.L.D., and one of the candidates for the Avengers Initiative before being killed by Hank Pym like all other candidates.

#WhatIfShow #WhatIfMarvel #JeremyRenner #ClintBarton #ClintonFrancisBarton #Hawkeye","""Growing up, you faced hardship early in life and eventually developed an unmatched skill with a bow. When faced with adversity, you typically...""
A) Adapted quickly and found a way to survive
B) Fought back without hesitation
C) Kept your emotions in check and observed carefully
D) Looked for an escape route rather than confrontation","""As a teenager, you trained hard to become one of the best marksmen in the world. When people underestimated you, your response was to...""
A) Prove them wrong through skill and action
B) Laugh it off and let your results speak for themselves
C) Challenge them directly to show your worth
D) Ignore them, knowing you had nothing to prove

","""Joining S.H.I.E.L.D. gave you purpose, and you were selected as one of the Avengers Initiative candidates. When given dangerous assignments, your approach was...""
A) Precision-focused, always analyzing before striking
B) Taking risks and relying on your instincts
C) Going in stealthily, ensuring minimal confrontation
D) Following orders but keeping an eye out for hidden dangers","""During an investigation into mysterious assassinations, you were framed for a crime you didn’t commit. Your first reaction was to...""
A) Try to prove your innocence through evidence
B) Fight your way out and go into hiding
C) Call for backup, knowing something was wrong
D) Stay put, hoping S.H.I.E.L.D. would believe you

","""As the killings continued, you began to suspect someone within S.H.I.E.L.D. was behind it. When interrogated by Nick Fury, you...""
A) Tried to convince him you were being set up
B) Stayed silent, knowing something bigger was at play
C) Looked for an escape opportunity
D) Blamed the real culprit despite the lack of proof","""Before you could uncover the truth, Hank Pym made his move and killed you. Your final thoughts were...""
A) Regret, realizing you couldn’t warn anyone
B) Shock, unable to believe what was happening
C) Anger, knowing you had been outplayed
D) Peace, accepting that you did your best",,,,,,
16,King T’Challa “Black Panther”,https://www.personality-database.com/profile/2588/king-tchalla-black-panther-mcu-the-heroes-mbti-personality-type,2588,"['MCU: The Heroes', 'Disney Infinity ']","T’Challa is the King of Wakanda and the holder of the protector of his tribe, the Black Panther. After his father was killed in a terrorist attack orchestrated by Colonel Helmut Zemo, T’Challa focused his efforts on killing the man he believed was responsible, James Barnes. This led him to enter the conflict between the Avengers on the side of Anthony Stark's team. However, when he discovered that Zemo had been the culprit in T’Chaka's death, he captured him without being consumed by revenge and helped Barnes recover from his trauma in Wakanda.

#MCU #ChadwickBoseman #TChalla #BlackPanther","""As a child, you were raised in the technologically advanced kingdom of Wakanda, knowing that one day you would be king. When faced with challenges, your first instinct was to...""
A) Seek wisdom from your father, King T’Chaka
B) Solve problems on your own to prove your strength
C) Trust in Wakanda’s traditions and follow their guidance
D) Question the traditions, wondering if they needed change","""During your teenage years, you trained to become both a leader and a warrior. When put to the test in combat, you...""
A) Fought honorably, always following the rules
B) Relied on strategy rather than brute strength
C) Pushed yourself to be better than anyone else
D) Showed mercy, even when others wouldn't
","""Before becoming King, you lived in the shadow of your father, T’Chaka. When he advised you about leadership, your response was to...""
A) Listen carefully, determined to live up to his legacy
B) Question whether his ways were still right for Wakanda
C) Trust in your own instincts, even if they differed
D) Accept his wisdom but feel pressure to be perfect","""After your father’s tragic assassination, your grief turned into a mission for justice. When you believed Bucky Barnes was responsible, you...""
A) Focused all your efforts on hunting him down
B) Listened to others but remained firm in your beliefs
C) Questioned whether vengeance was the right path
D) Sought proof before making your next move
","""In the midst of the Avengers' civil war, you sided with Tony Stark. When battle broke out, you...""
A) Fought with precision, focusing on your target
B) Stayed focused on your personal mission of revenge
C) Questioned whether you were on the right side
D) Avoided unnecessary violence, even against your enemies","""After discovering that Helmut Zemo was the true culprit behind your father’s death, you had the chance to take revenge. Instead, you...""
A) Showed mercy and chose to break the cycle of vengeance
B) Arrested him, ensuring justice was served properly
C) Reflected on your actions, realizing your anger had blinded you
D) Left him for the authorities, choosing to focus on Wakanda’s future",,,,,,
